road,model_type,name,lat,lon
N1,sourcesink,SoSi1,23.7060278,90.443333
N1,sourcesink,SoSi2,20.8629167,92.298083
N102,sourcesink,SoSi3,23.4789716,91.1181938
N102,sourcesink,SoSi4,24.0506111,91.1146667
N104,sourcesink,SoSi5,23.0096667,91.3994163
N104,sourcesink,SoSi6,22.8257493,91.1014444
N105,sourcesink,SoSi7,23.6904163,90.5466108
N105,sourcesink,SoSi8,23.9895274,90.3582222
N2,sourcesink,SoSi9,23.7059167,90.5214438
N2,sourcesink,SoSi10,25.1570556,92.0176382
N204,sourcesink,SoSi11,24.1479163,91.3466108
N204,sourcesink,SoSi12,24.2673882,91.4771382
N207,sourcesink,SoSi13,24.2948608,91.51025
N207,sourcesink,SoSi14,24.6263327,91.6775271
N208,sourcesink,SoSi15,24.4713604,91.7655556
N208,sourcesink,SoSi16,24.8775549,91.8753604
